Timestamp,_id,Redemption Count,Sales Count,day_of_week,month,quarter,is_weekend,RedemptionCount_lag1,RedemptionCount_lag7
2015-05-08,15042600,2108,3390,4,5,2,0,1343.0,1.0
2015-05-09,16024905,5604,6145,5,5,2,1,2108.0,0.0
2015-05-10,14049132,3013,3554,6,5,2,1,5604.0,0.0
2015-05-11,13799492,395,908,0,5,2,0,3013.0,12.0
2015-05-12,13796356,512,3631,1,5,2,0,395.0,537.0
2015-05-13,14778330,643,1181,2,5,2,0,512.0,989.0
2015-05-14,15020945,1774,2563,3,5,2,0,643.0,1343.0
2015-05-15,15263377,635,1162,4,5,2,0,1774.0,2108.0
2015-05-16,15751712,6958,7640,5,5,2,1,635.0,5604.0
2015-05-17,15009538,7089,8249,6,5,2,1,6958.0,3013.0
2015-05-18,15743712,7250,9244,0,5,2,0,7089.0,395.0
2015-05-19,15247815,1862,4570,1,5,2,0,7250.0,512.0
2015-05-20,15489810,2776,1518,2,5,2,0,1862.0,643.0
2015-05-21,14994288,1760,2226,3,5,2,0,2776.0,1774.0
2015-05-22,15973425,1881,2257,4,5,2,0,1760.0,635.0
2015-05-23,15723552,6401,7058,5,5,2,1,1881.0,6958.0
2015-05-24,15228285,8208,9279,6,5,2,1,6401.0,7089.0
2015-05-25,14978916,1221,1540,0,5,2,0,8208.0,7250.0
2015-05-26,15220659,2345,2997,1,5,2,0,1221.0,1862.0
2015-05-27,14726010,1898,2390,2,5,2,0,2345.0,2776.0
2015-05-28,14967753,2774,3244,3,5,2,0,1898.0,1760.0
2015-05-29,15945150,4221,4663,4,5,2,0,2774.0,1881.0
2015-05-30,14714850,3054,3111,5,5,2,1,4221.0,6401.0
2015-05-31,12749958,406,609,6,5,2,1,3054.0,8208.0
2015-06-01,14708130,1116,1809,0,6,2,0,406.0,1221.0
2015-06-02,15684704,3025,3234,1,6,2,0,1116.0,2345.0
2015-06-03,16170561,2719,3977,2,6,2,0,3025.0,1898.0
2015-06-04,16656022,3432,3683,3,6,2,0,2719.0,2774.0
2015-06-05,16896237,3306,3389,4,6,2,0,3432.0,4221.0
2015-06-06,16157163,6200,9082,5,6,2,1,3306.0,3054.0
2015-06-07,15418683,8046,8547,6,6,2,1,6200.0,406.0
2015-06-08,15414714,775,1194,0,6,2,0,8046.0,1116.0
2015-06-09,16144491,1525,2001,1,6,2,0,775.0,3025.0
2015-06-10,15651104,1858,3192,2,6,2,0,1525.0,2719.0
2015-06-11,17602596,3134,7881,3,6,2,0,1858.0,3432.0
2015-06-12,18086155,3282,4225,4,6,2,0,3134.0,3306.0
2015-06-13,17103485,2017,12871,5,6,2,1,3282.0,6200.0
2015-06-14,16121655,9475,2992,6,6,2,1,2017.0,8046.0
2015-06-15,14652270,2618,3028,0,6,2,0,9475.0,775.0
2015-06-16,17089765,4761,4889,1,6,2,0,2618.0,1525.0
2015-06-17,17328899,4510,5270,2,6,2,0,4761.0,1858.0
2015-06-18,15860065,3342,3867,3,6,2,0,4510.0,3134.0
2015-06-19,17075345,6514,6818,4,6,2,0,3342.0,3282.0
2015-06-20,17314273,4994,15399,5,6,2,1,6514.0,2017.0
2015-06-21,19015503,9930,10784,6,6,2,1,4994.0,9475.0
2015-06-22,15354234,5741,6535,0,6,2,0,9930.0,2618.0
2015-06-23,19004505,7461,4184,1,6,2,0,5741.0,4761.0
2015-06-24,15588896,2494,6610,2,6,2,0,7461.0,4510.0
2015-06-25,16558714,3352,3890,3,6,2,0,2494.0,3342.0
2015-06-26,16310681,580,9887,4,6,2,0,3352.0,6514.0
2015-06-27,15332814,8569,1287,5,6,2,1,580.0,4994.0
2015-06-28,13139253,318,427,6,6,2,1,8569.0,9930.0
2015-06-29,15082213,1008,9389,0,6,2,0,318.0,5741.0
2015-06-30,17023685,1641,2871,1,6,2,0,1008.0,7461.0
2015-07-01,15560224,2118,16358,2,7,3,0,1641.0,2494.0
2015-07-02,16528250,2239,9679,3,7,3,0,2118.0,3352.0
2015-07-03,19924975,2666,11647,4,7,3,0,2239.0,580.0
2015-07-04,19432520,2046,14685,5,7,3,1,2666.0,8569.0
2015-07-05,15055801,192,13781,6,7,3,1,2046.0,318.0
2015-07-06,16265657,1615,8552,0,7,3,0,192.0,1008.0
2015-07-07,15533152,2554,2846,1,7,3,0,1615.0,1641.0
2015-07-08,16014273,892,7261,2,7,3,0,2554.0,2118.0
2015-07-09,16009917,721,5229,3,7,3,0,892.0,2239.0
2015-07-10,16248036,379,10069,4,7,3,0,721.0,2666.0
2015-07-11,17213169,1015,13053,5,7,3,1,379.0,2046.0
2015-07-12,15269436,695,10713,6,7,3,1,1015.0,192.0
2015-07-13,15023189,7315,6768,0,7,3,0,695.0,1615.0
2015-07-14,16714836,1776,2118,1,7,3,0,7315.0,2554.0
2015-07-15,15257214,7852,7717,2,7,3,0,1776.0,892.0
2015-07-16,16463650,8481,9427,3,7,3,0,7852.0,721.0
2015-07-17,15975003,2347,1918,4,7,3,0,8481.0,379.0
2015-07-18,15970647,23889,23354,5,7,3,1,2347.0,1015.0
2015-07-19,15724410,15934,15297,6,7,3,1,23889.0,695.0
2015-07-20,15720185,9271,9422,0,7,3,0,15934.0,7315.0
2015-07-21,15957711,7921,8688,1,7,3,0,9271.0,1776.0
2015-07-22,15953355,9770,10504,2,7,3,0,7921.0,7852.0
2015-07-23,15707380,9896,10331,3,7,3,0,9770.0,8481.0
2015-07-24,15703155,10246,10815,4,7,3,0,9896.0,2347.0
2015-07-25,14974457,13836,14306,5,7,3,1,10246.0,23889.0
2015-07-26,15453472,17287,18040,6,7,3,1,13836.0,15934.0
2015-07-27,16656186,9459,10379,0,7,3,0,17287.0,9271.0
2015-07-28,18340434,9257,10721,1,7,3,0,9459.0,7921.0
2015-07-29,18334658,9036,10794,2,7,3,0,9257.0,9770.0
2015-07-30,17846617,11607,12097,3,7,3,0,9036.0,9896.0
2015-07-31,17841141,10616,11871,4,7,3,0,11607.0,10246.0
2015-08-01,19040580,16324,16496,5,8,3,1,10616.0,13836.0
2015-08-02,18070725,19977,19942,6,8,3,1,16324.0,17287.0
2015-08-03,16860935,17762,18080,0,8,3,0,19977.0,9459.0
2015-08-04,17578327,5618,6674,1,8,3,0,17762.0,9257.0
2015-08-05,18054375,11680,12771,2,8,3,0,5618.0,9036.0
2015-08-06,18770583,10566,11267,3,8,3,0,11680.0,11607.0
2015-08-07,18042900,11343,12617,4,8,3,0,10566.0,10616.0
2015-08-08,14430270,15465,15366,5,8,3,1,11343.0,16324.0
2015-08-09,15147909,20055,19605,6,8,3,1,15465.0,19977.0
2015-08-10,16586013,3306,3907,0,8,3,0,20055.0,17762.0
2015-08-11,17782607,5617,7887,1,8,3,0,3306.0,5618.0
2015-08-12,18017325,10466,10758,2,8,3,0,5617.0,11680.0
2015-08-13,18732051,10843,12001,3,8,3,0,10466.0,10566.0
2015-08-14,17285724,3025,4784,4,8,3,0,10843.0,11343.0
2015-08-15,19680205,18982,19155,5,8,3,1,3025.0,15465.0
2015-08-16,19913360,21155,21519,6,8,3,1,18982.0,20055.0
2015-08-17,17028853,10558,10870,0,8,3,0,21155.0,3306.0
2015-08-18,16784075,3700,4289,1,8,3,0,10558.0,5617.0
2015-08-19,17977500,10791,11000,2,8,3,0,3700.0,10466.0
2015-08-20,16294738,2618,4855,3,8,3,0,10791.0,10843.0
2015-08-21,18924845,10123,13105,4,8,3,0,2618.0,3025.0
2015-08-22,20355205,20316,19678,5,8,3,1,10123.0,18982.0
